Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOUNCA187TXL] SHORT PLAYA CAB (Azul Pizarra, XL);SHOUNCA187TXL;SHORT PLAYA CAB;Caballero;Azul Pizarra;XL;1,00
CERRO VERDE;[SHOUNCA38TXL] SHORT PLAYA CAB (Marron, XL);SHOUNCA38TXL;SHORT PLAYA CAB;Caballero;Marron;XL;1,00
CERRO VERDE;[SHOUNCA69TM] SHORT PLAYA CAB (Verde Pino, M);SHOUNCA69TM;SHORT PLAYA CAB;Caballero;Verde Pino;M;2,00
CERRO VERDE;[SHOUNCA186TXL] SHORT PLAYA CAB (Azul Verdoso, XL);SHOUNCA186TXL;SHORT PLAYA CAB;Caballero;Azul Verdoso;XL;2,00
CERRO VERDE;[SHOUNKI13T4] SHORT PLAYA KIDS (Azul Rey, 4);SHOUNKI13T4;SHORT PLAYA KIDS;Kids;Azul Rey;4;1,00
CERRO VERDE;[SHOUNKI01T8] SHORT PLAYA KIDS (Aguamarina, 8);SHOUNKI01T8;SHORT PLAYA KIDS;Kids;Aguamarina;8;1,00
CERRO VERDE;[SHOUNKI68T8] SHORT PLAYA KIDS (Verde Oliva, 8);SHOUNKI68T8;SHORT PLAYA KIDS;Kids;Verde Oliva;8;1,00
CERRO VERDE;[SHOUNKI57T2] SHORT PLAYA KIDS (Terracota, 2);SHOUNKI57T2;SHORT PLAYA KIDS;Kids;Terracota;2;1,00
CERRO VERDE;[SHOSUKI153T2] SHORT PLAYA ESTAMPADO KIDS (SAL, 2);SHOSUKI153T2;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;2;1,00
CERRO VERDE;[SHOSUKI155T14] SHORT PLAYA ESTAMPADO KIDS (PLAYUELA, 14);SHOSUKI155T14;SHORT PLAYA ESTAMPADO KIDS;Kids;Playuela;14;2,00
CERRO VERDE;[SHOSUCA156TS] SHORT PLAYA ESTAMPADO CAB (TUCUPIDO, S);SHOSUCA156TS;SHORT PLAYA ESTAMPADO CAB;Caballero;Tucupido;S;2,00
CERRO VERDE;[SHOSUCA153TL] SHORT PLAYA ESTAMPADO CAB (SAL, L);SHOSUCA153TL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;L;2,00
CERRO VERDE;[SHOUNCA186TM] SHORT PLAYA CAB (Azul Verdoso, M);SHOUNCA186TM;SHORT PLAYA CAB;Caballero;Azul Verdoso;M;2,00
CERRO VERDE;[SHOUNKI23T12] SHORT PLAYA KIDS (Coral, 12);SHOUNKI23T12;SHORT PLAYA KIDS;Kids;Coral;12;1,00
CERRO VERDE;[SHOSUCA156TM] SHORT PLAYA ESTAMPADO CAB (TUCUPIDO, M);SHOSUCA156TM;SHORT PLAYA ESTAMPADO CAB;Caballero;Tucupido;M;1,00
