Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
GRIETA;[BAPCCDA43TM] BASIC LINE PANT DAMA (Black, M);BAPCCDA43TM;BASIC LINE PANT;DAMA;Black;M;3
GRIETA;[BAPCCDA43TL] BASIC LINE PANT DAMA (Black, L);BAPCCDA43TL;BASIC LINE PANT;DAMA;Black;L;5
GRIETA;[BAPCCDA43TXL] BASIC LINE PANT DAMA (Black, XL);BAPCCDA43TXL;BASIC LINE PANT;DAMA;Black;XL;7
GRIETA;[BAPCCDA184TXS] BASIC LINE PANT DAMA (Peanut, XS);BAPCCDA184TXS;BASIC LINE PANT;DAMA;Peanut;XS;4
GRIETA;[BAPCCDA184TS] BASIC LINE PANT DAMA (Peanut, S);BAPCCDA184TS;BASIC LINE PANT;DAMA;Peanut;S;3
GRIETA;[BAPCCDA184TM] BASIC LINE PANT DAMA (Peanut, M);BAPCCDA184TM;BASIC LINE PANT;DAMA;Peanut;M;3
GRIETA;[BAPCCDA184TL] BASIC LINE PANT DAMA (Peanut, L);BAPCCDA184TL;BASIC LINE PANT;DAMA;Peanut;L;1
GRIETA;[BAPCCDA184TXL] BASIC LINE PANT DAMA (Peanut, XL);BAPCCDA184TXL;BASIC LINE PANT;DAMA;Peanut;XL;5
GRIETA;[BASCCDA43TXS] BASIC LINE SHORT DAMA (Black, XS);BASCCDA43TXS;BASIC LINE SHORT;DAMA;Black;XS;5
GRIETA;[BASCCDA43TS] BASIC LINE SHORT DAMA (Black, S);BASCCDA43TS;BASIC LINE SHORT;DAMA;Black;S;8
GRIETA;[BASCCDA43TM] BASIC LINE SHORT DAMA (Black, M);BASCCDA43TM;BASIC LINE SHORT;DAMA;Black;M;4
GRIETA;[BASCCDA43TL] BASIC LINE SHORT DAMA (Black, L);BASCCDA43TL;BASIC LINE SHORT;DAMA;Black;L;5
GRIETA;[BASCCDA43TXL] BASIC LINE SHORT DAMA (Black, XL);BASCCDA43TXL;BASIC LINE SHORT;DAMA;Black;XL;1
GRIETA;[BASCCDA38TXS] BASIC LINE SHORT DAMA (Peanut, XS);BASCCDA38TXS;BASIC LINE SHORT;DAMA;Peanut;XS;4
GRIETA;[BASCCDA38TS] BASIC LINE SHORT DAMA (Peanut, S);BASCCDA38TS;BASIC LINE SHORT;DAMA;Peanut;S;9
GRIETA;[BASCCDA38TM] BASIC LINE SHORT DAMA (Peanut, M);BASCCDA38TM;BASIC LINE SHORT;DAMA;Peanut;M;9
GRIETA;[BASCCDA38TL] BASIC LINE SHORT DAMA (Peanut, L);BASCCDA38TL;BASIC LINE SHORT;DAMA;Peanut;L;2
GRIETA;[BASCCDA38TXL] BASIC LINE SHORT DAMA (Peanut, XL);BASCCDA38TXL;BASIC LINE SHORT;DAMA;Peanut;XL;3
SAMBIL;[BACCCDA43TXS] BASIC LINE CROP TEE DAMA (Black, XS);BACCCDA43TXS;BASIC LINE CROP TEE;DAMA;Black;XS;4
SAMBIL;[BACCCDA43TS] BASIC LINE CROP TEE DAMA (Black, S);BACCCDA43TS;BASIC LINE CROP TEE;DAMA;Black;S;4
SAMBIL;[BACCCDA43TM] BASIC LINE CROP TEE DAMA (Black, M);BACCCDA43TM;BASIC LINE CROP TEE;DAMA;Black;M;4
SAMBIL;[BACCCDA43TL] BASIC LINE CROP TEE DAMA (Black, L);BACCCDA43TL;BASIC LINE CROP TEE;DAMA;Black;L;3
